CLIENT_ID,INCOME (US$)
1,"2,894.00"
2,"3,448.00"
3,"1,461.00"
4,"2,224.00"
5,"2,501.00"
6,"1,100.00"
7,"3,560.00"
8,"5,511.00"
9,"2,901.00"
10,"10,128.00"
11,"1,855.00"
12,"3,161.00"
13,"8,630.00"
14,"6,201.00"
15,"4,130.00"
16,"2,736.00"
17,"4,448.00"
18,"2,150.00"
19,"4,595.00"
20,"5,561.00"
21,"2,800.00"
22,"9,538.00"
23,"2,000.00"
24,"3,226.00"
25,"1,900.00"
26,"7,665.00"
27,"3,890.00"
28,"6,590.00"
29,"1,241.00"
30,"1,720.00"
31,"2,556.00"
32,"4,730.00"
33,"4,745.00"
34,"8,550.00"
35,"3,860.00"
36,"11,320.00"
37,"6,125.00"
38,"5,606.00"
39,"3,250.00"
40,"1,500.00"
41,"9,216.00"
42,"4,999.00"
43,"3,900.00"
44,"7,000.00"
45,"3,508.00"
46,"1,130.00"
47,"4,121.00"
48,"2,601.00"
49,"2,901.00"
50,"4,871.00"
